"Equation","Variable","Marginal_Effect"
"recycling","isocntryLT",-0.369777285500995
"recycling","isocntryLU",0.0981009008224751
"recycling","isocntryLV",-0.149009182687794
"recycling","isocntryMK",-0.267001790959305
"recycling","isocntryNL",0.00532456935247624
"recycling","isocntryNO",0.100540815296834
"recycling","isocntryPL",-0.068975040860058
"recycling","isocntryPT",0.148287382725924
"recycling","isocntryRO",-0.159351670728404
"recycling","isocntryRS",-0.237538161744758
"recycling","isocntryRS-KM",-0.44464460714964
"recycling","isocntrySE",0.216694343828416
"recycling","isocntrySI",-0.19211453078522
"recycling","isocntrySK",-0.0630130411874908
"recycling","isocntryTR",-0.138119080107886
"recycling","isocntryUS",0.0683063667676752
"resource_reduction","(Intercept)",-0.00343365132715443
"resource_reduction","AI_var",0.0577312694727402
"resource_reduction","bigdata",0.0375474362269869
"resource_reduction","cloud",0.0843776336043226
"resource_reduction","highspeed",0.091241071771853
"resource_reduction","robot",0.058775641578058
"resource_reduction","smart",0.139406166130914
"resource_reduction","fam_owned",0.0504736371255127
"resource_reduction","financecap",0.0178902212632336
"resource_reduction","indstrl_area",0.000940124634606051
"resource_reduction","urban_area",-0.0210502257634456
"resource_reduction","skillshortage",-0.0696643349354495
"resource_reduction","nace_a10",-0.0122323037655014
"resource_reduction","nace_a11",-0.00155999679805206
"resource_reduction","nace_a12",-0.0477937411699678
"resource_reduction","nace_a13",-0.0481029519644545
"resource_reduction","nace_a14",0.0662427204595493
"resource_reduction","nace_a15",-0.00905927191060572
"resource_reduction","nace_a16",0.0223933247116689
"resource_reduction","nace_a2",-0.000288762847559184
"resource_reduction","nace_a3",0.0472178617330833
"resource_reduction","nace_a4",0.0223764042601369
"resource_reduction","nace_a5",-0.0385969066052333
"resource_reduction","nace_a6",0.00762581710947863
"resource_reduction","nace_a7",-0.0428272311117351
"resource_reduction","nace_a8",0.137704193417811
"resource_reduction","nace_a9",-0.1664589390587
"resource_reduction","ln_size",0.0126889767839041
"resource_reduction","isocntryBA",-0.342760052746142
"resource_reduction","isocntryBE",-0.0834713262464223
"resource_reduction","isocntryBG",-0.154120884459267
"resource_reduction","isocntryBR",0.258469163080646
"resource_reduction","isocntryCA",-0.0219632280091362
"resource_reduction","isocntryCY",-0.280742854444174
"resource_reduction","isocntryCZ",-0.118496683839124
"resource_reduction","isocntryDE",0.135989657195554
"resource_reduction","isocntryDK",0.0114062717770603
"resource_reduction","isocntryEE",-0.47092609049935
"resource_reduction","isocntryES",0.184805039474392
"resource_reduction","isocntryFI",-0.0664826557284659
"resource_reduction","isocntryFR",0.0309433194086669
"resource_reduction","isocntryGB",-0.00243908598528018
"resource_reduction","isocntryGR",-0.25103032831914
"resource_reduction","isocntryHR",-0.257167515544271
"resource_reduction","isocntryHU",-0.30770452241611
"resource_reduction","isocntryIE",0.0162713379250876
"resource_reduction","isocntryIS",-0.201030171222331
"resource_reduction","isocntryIT",-0.610279148771232
"resource_reduction","isocntryJP",-0.301304784094625
"resource_reduction","isocntryLT",-0.340276314161999
"resource_reduction","isocntryLU",0.109177555702053
"resource_reduction","isocntryLV",-0.0506359452022278
"resource_reduction","isocntryMK",-0.406483082197894
"resource_reduction","isocntryNL",-0.122887955808135
"resource_reduction","isocntryNO",-0.140243346341285
"resource_reduction","isocntryPL",-0.0934170997119814
"resource_reduction","isocntryPT",0.0339363543463977
"resource_reduction","isocntryRO",-0.390321111019147
"resource_reduction","isocntryRS",-0.410859303552515
"resource_reduction","isocntryRS-KM",-0.491544529621265
"resource_reduction","isocntrySE",0.0963219676301194
"resource_reduction","isocntrySI",-0.215350577151647
"resource_reduction","isocntrySK",-0.273305828782391
"resource_reduction","isocntryTR",-0.194137150609125
"resource_reduction","isocntryUS",-0.111879746331073
"energy_saving","(Intercept)",0.090340962289817
"energy_saving","AI_var",0.0531077779052877
"energy_saving","bigdata",0.020492676954961
"energy_saving","cloud",0.0546026147537785
"energy_saving","highspeed",0.0745025093985404
"energy_saving","robot",0.0732166560582228
"energy_saving","smart",0.142798588519201
"energy_saving","fam_owned",0.0481974464159091
"energy_saving","financecap",0.0235536009319418
"energy_saving","indstrl_area",0.00818086096536812
"energy_saving","urban_area",-0.0521857785938261
"energy_saving","skillshortage",-0.082132085806075
"energy_saving","nace_a10",-0.0756050237727389
"energy_saving","nace_a11",0.043231367457393
"energy_saving","nace_a12",-0.114501962626588
"energy_saving","nace_a13",-0.0988503238371563
"energy_saving","nace_a14",-0.0100376080977235
"energy_saving","nace_a15",-0.0861825415796349
"energy_saving","nace_a16",-0.0376330947242564
"energy_saving","nace_a2",-0.0210673704684402
"energy_saving","nace_a3",0.0490629544593999
"energy_saving","nace_a4",-0.0229898582716769
"energy_saving","nace_a5",-0.0687360412343159
"energy_saving","nace_a6",-0.0213637195172714
"energy_saving","nace_a7",-0.0631105661628303
"energy_saving","nace_a8",0.102472540909881
"energy_saving","nace_a9",-0.184717094957441
"energy_saving","ln_size",0.0277025189997635
"energy_saving","isocntryBA",-0.31750705602832
"energy_saving","isocntryBE",-0.0943061540157354
"energy_saving","isocntryBG",-0.229043196990967
"energy_saving","isocntryBR",0.0691634757890797
"energy_saving","isocntryCA",-0.186688118834328
"energy_saving","isocntryCY",-0.326568845229943
"energy_saving","isocntryCZ",-0.110713443016249
"energy_saving","isocntryDE",0.112386844086923
"energy_saving","isocntryDK",0.0233934263039032
"energy_saving","isocntryEE",-0.400309829735953
"energy_saving","isocntryES",-0.0874859461117496
"energy_saving","isocntryFI",-0.0837077011905354
"energy_saving","isocntryFR",-0.137172956061741
"energy_saving","isocntryGB",-0.157487122035367
"energy_saving","isocntryGR",-0.334102870795487
"energy_saving","isocntryHR",-0.275270037020554
"energy_saving","isocntryHU",-0.301459483801431
"energy_saving","isocntryIE",-0.00842517929803438
"energy_saving","isocntryIS",-0.329782591264522
"energy_saving","isocntryIT",-0.401880272782101
"energy_saving","isocntryJP",-0.247624609688851
"energy_saving","isocntryLT",-0.391757143231815
"energy_saving","isocntryLU",-0.0829997247061575
"energy_saving","isocntryLV",-0.0807577187294432
"energy_saving","isocntryMK",-0.36704184412944
"energy_saving","isocntryNL",-0.0237727678992192
"energy_saving","isocntryNO",-0.180953527202981
"energy_saving","isocntryPL",-0.111934459921058
"energy_saving","isocntryPT",-0.0590191688145962
"energy_saving","isocntryRO",-0.385347626612907
"energy_saving","isocntryRS",-0.276226729857463
"energy_saving","isocntryRS-KM",-0.526808404341688
"energy_saving","isocntrySE",0.0386558030862049
"energy_saving","isocntrySI",-0.228287021824046
"energy_saving","isocntrySK",-0.310591227995368
"energy_saving","isocntryTR",-0.250328351129866
"energy_saving","isocntryUS",-0.27095928009534
"sustnb_prod","(Intercept)",-0.165686331621026
"sustnb_prod","AI_var",0.074728135404521
"sustnb_prod","bigdata",0.0650965574953791
"sustnb_prod","cloud",0.0667307628854048
"sustnb_prod","highspeed",0.0625295422281408
"sustnb_prod","robot",0.0743170499997057
"sustnb_prod","smart",0.10707757060855
"sustnb_prod","fam_owned",0.0419512020806322
"sustnb_prod","financecap",0.0392502944102721
"sustnb_prod","indstrl_area",0.0326622844823204
"sustnb_prod","urban_area",-0.0027842708908798
"sustnb_prod","skillshortage",-0.10303238985832
"sustnb_prod","nace_a10",-0.117806818932179
"sustnb_prod","nace_a11",-0.0718862836971642
"sustnb_prod","nace_a12",-0.0965434600297051
"sustnb_prod","nace_a13",-0.0572070456183291
"sustnb_prod","nace_a14",-0.105959399945396
"sustnb_prod","nace_a15",-0.132264413194398
"sustnb_prod","nace_a16",-0.0602045990218937
"sustnb_prod","nace_a2",-0.0101162942860445
"sustnb_prod","nace_a3",-0.0085489061883282
"sustnb_prod","nace_a4",0.0246787987537886
"sustnb_prod","nace_a5",-0.0820713235193047
"sustnb_prod","nace_a6",-0.0444097857323576
"sustnb_prod","nace_a7",-0.114906581189489
"sustnb_prod","nace_a8",0.00551672245380425
"sustnb_prod","nace_a9",-0.093969412398161
"sustnb_prod","ln_size",0.00222961417016089
"sustnb_prod","isocntryBA",-0.304905155956379
"sustnb_prod","isocntryBE",-0.0547737173455316
"sustnb_prod","isocntryBG",-0.157144886883158
"sustnb_prod","isocntryBR",0.119684853169223
"sustnb_prod","isocntryCA",-0.0259702467375581
"sustnb_prod","isocntryCY",-0.313671170816203
"sustnb_prod","isocntryCZ",-0.108595091677637
"sustnb_prod","isocntryDE",0.0162740339029496
"sustnb_prod","isocntryDK",-0.0603905780597921
"sustnb_prod","isocntryEE",-0.127967977411367
"sustnb_prod","isocntryES",0.0453609883700221
"sustnb_prod","isocntryFI",0.0969678188065251
"sustnb_prod","isocntryFR",0.0508327508014287
"sustnb_prod","isocntryGB",-0.036052028797909
"sustnb_prod","isocntryGR",-0.302313155101745
"sustnb_prod","isocntryHR",-0.264353412586218
"sustnb_prod","isocntryHU",-0.279197614702323
"sustnb_prod","isocntryIE",0.00597905624023951
"sustnb_prod","isocntryIS",-0.127808667931715
"sustnb_prod","isocntryIT",-0.357058708876277
"sustnb_prod","isocntryJP",-0.100709241817657
"sustnb_prod","isocntryLT",-0.170873357030368
"sustnb_prod","isocntryLU",0.0558636823833639
"sustnb_prod","isocntryLV",0.00987173124291183
"sustnb_prod","isocntryMK",-0.280410488336158
"sustnb_prod","isocntryNL",-0.0592668504158082
"sustnb_prod","isocntryNO",0.0501598882764951
"sustnb_prod","isocntryPL",-0.0930323738962181
"sustnb_prod","isocntryPT",0.0440486069118495
"sustnb_prod","isocntryRO",0.00892236083212657
"sustnb_prod","isocntryRS",-0.299466864548586
"sustnb_prod","isocntryRS-KM",-0.21168733407123
"sustnb_prod","isocntrySE",0.193309290536743
"sustnb_prod","isocntrySI",-0.153016529579878
"sustnb_prod","isocntrySK",-0.186287690632144
"sustnb_prod","isocntryTR",0.0181900143547468
"sustnb_prod","isocntryUS",-0.107664217902322
